Title@"Durata Curs"@investitie@Permalink
"Specialist pentru sistemul de management al siguranței alimentului HACCP/ SR EN ISO 22000:2019"@"3 zile"@"280 euro"@https://tuvkarpat.ro/cursuri/specialist-pentru-sistemul-de-management-al-sigurantei-alimentului-haccp-iso-220002018/
"Prezentare cerințe FSSC 22000, versiunea 7"@"2 zile"@"250 euro"@https://tuvkarpat.ro/cursuri/prezentare-cerinte-fssc-22000/
"Prezentare cerințe IFS (Internațional Food Standard) versiunea 8"@"2 zile"@"220 euro"@https://tuvkarpat.ro/cursuri/prezentare-cerinte-ifs-international-food-standard/
"Auditor pentru sistemul de management al calității și siguranței alimentului conform standardului IFS FOOD - versiunea 8"@"3 zile"@"280 euro"@https://tuvkarpat.ro/cursuri/auditor-intern-pentru-sistemul-de-management-al-calitatii-si-sigurantei-alimentului-conform-standardului-ifs-food-versiunea-8/
"Manager pentru sistemul de management integrat calitate-mediu-sănătate și securitate în muncă (SR EN ISO 9001:2015 &amp; SR EN ISO 14001:2026 &amp; ISO 45001:2023)"@"4 zile"@"370 euro"@https://tuvkarpat.ro/cursuri/manager-pentru-sistemul-de-management-integrat-calitate-mediu-sanatate-si-securitate-in-munca-sr-en-iso-9001-sr-en-iso-14001-iso-45001/
"Manager HSEQ"@"5 zile"@"650 euro"@https://tuvkarpat.ro/cursuri/manager-hseq/
"Auditor pentru sistemul de management integrat calitate-siguranţa alimentului ( SR EN ISO 9001:2015 &amp; SR EN ISO 22000:2019 )"@"3 zile"@"280 euro"@https://tuvkarpat.ro/cursuri/auditor-pentru-sistemul-de-management-integrat-calitate-siguranta-alimentului-iso-9001-iso-22000/
"Auditor pentru sistemul de management integrat calitate-mediu-sănătate și securitate în muncă (SR EN ISO 9001:2015 &amp; SR EN ISO 14001:2026 &amp; SR EN ISO 45001:2023)"@"4 zile"@"370 euro"@https://tuvkarpat.ro/cursuri/auditor-pentru-sistemul-de-management-integrat-calitate-mediu-sanatate-si-securitate-in-munca-sr-en-iso-9001-sr-en-iso-14001-sr-en-iso-45001/
"Specialist în managementul continuității afacerii ISO 22301:2019"@"3 zile"@"300 euro"@https://tuvkarpat.ro/cursuri/specialist-in-managementul-continuitatii-afacerii-iso-223012019/
"Manager în domeniul educației ISO 21001:2018"@"3 zile"@"300 euro"@https://tuvkarpat.ro/cursuri/manager-in-domeniul-educatie-iso-210012018/
"Auditor în domeniul educației ISO 21001:2018"@"3 zile"@"300 euro"@https://tuvkarpat.ro/cursuri/auditor-in-domeniul-educatiei-iso-210012018/
"Prezentare cerințe în domeniul educației ISO 21001:2018"@"2 zile"@"200 euro"@https://tuvkarpat.ro/cursuri/prezentare-cerinte-in-domeniul-educatie-iso-210012018/
"Cerințe pentru sistemele de management Anti-mită ISO 37001:2025"@"2 zile"@"250 euro"@https://tuvkarpat.ro/cursuri/cerinte-pentru-sistemele-de-management-anti-mita-iso-37001/
"Certificare Personal Operațional SCC 018 / SGU (Certificat de siguranță pentru contractor)"@"3 zile"@"300 euro"@https://tuvkarpat.ro/cursuri/certificare-personal-scc-sgu-certificat-de-siguranta-pentru-contractor/
"Manager în domeniul turismului și serviciilor conexe ISO 21401:2018"@"3 zile"@"350 euro"@https://tuvkarpat.ro/cursuri/manager-in-domeniul-turismului-si-serviciilor-conexe-iso-214012018/
"Inginer de proces - Nivel de inițiere"@"2 zile"@"300 euro"@https://tuvkarpat.ro/cursuri/inginer-de-proces-nivel-de-initiere/
"Inginer de proces - Nivel mediu"@"3 zile"@"370 euro"@https://tuvkarpat.ro/cursuri/inginer-de-proces-nivel-mediu/
"Inginer de proces - Nivel avansat"@"5 zile"@"470 euro"@https://tuvkarpat.ro/cursuri/inginer-de-proces-nivel-avansat/
"Evaluarea proiectelor - Modul 3"@"3 zile"@"400 euro"@https://tuvkarpat.ro/cursuri/evaluarea-proiectelor/
"Implementarea proiectelor - Modul 2"@"2 zile"@"350 euro"@https://tuvkarpat.ro/cursuri/implementarea-proiectelor/
"Cunoștințe de bază. Inițiere - Modul 1"@"1 zi"@"300 euro"@https://tuvkarpat.ro/cursuri/cunostinte-de-baza-initiere/
"Auditor al sistemului de management al calității pentru industria petrolieră, petrochimică, a gazelor SR EN ISO/TS 29001:2020"@"3 zile"@"350 euro"@https://tuvkarpat.ro/cursuri/auditor-al-sistemului-de-management-al-calitatii-pentru-industria-petroliera-petrochimica-a-gazelor-conform-sr-en-iso-ts-290012020/
"Manager al sistemului de management al calității pentru industria petrolieră, petrochimică a gazelor SR EN ISO 29001:2020"@"3 zile"@"350 euro"@https://tuvkarpat.ro/cursuri/manager-al-sistemului-de-management-al-calitatii-pentru-industria-petroliera-petrochimica-a-gazelor-sr-en-iso-290012020/
"Prezentarea cerințelor în industria petrolieră, petrochimică, a gazelor SR EN ISO/TS 29001:2020"@"2 zile"@"250 euro"@https://tuvkarpat.ro/cursuri/prezentare-cerintelor-in-industria-petroliera-petrochimica-a-gazelor-sr-en-iso-ts-290012020/
"Responsabil cu protecția datelor cu caracter personal conform regulamentului 679/2016 (GDPR)"@"3 zile"@"300 euro"@https://tuvkarpat.ro/cursuri/responsabil-cu-protectia-datelor-cu-caracter-personal-conform-regulamentului-679-2016-gdpr/
"Auditor pentru sistemul de management al securității informațiilor SR EN ISO/IEC 27001:2023"@"4 zile"@"380 euro"@https://tuvkarpat.ro/cursuri/auditor-pentru-sistemul-de-management-al-securitatii-informatiilor-sr-en-iso-iec270012023/
"Auditor pentru sistemul de management al serviciilor ISO/ IEC 20000-1"@"3 zile"@"370 euro"@https://tuvkarpat.ro/cursuri/auditor-pentru-sistemul-de-management-al-serviciilor-iso-20000-1/
"Managementul serviciilor IT ISO 20000-1"@"3 zile"@"350 euro"@https://tuvkarpat.ro/cursuri/managementul-serviciilor-it-iso-20000-1/
"FMEA AIAG - VDA"@"2 zile"@"270 euro"@https://tuvkarpat.ro/cursuri/fmea-aiag-vda/
"CORE TOOLS (APQP, PPAP, FMEA, SPC, MSA)"@"4 zile"@"400 euro"@https://tuvkarpat.ro/cursuri/core-tools-apqp-ppap-fmea-spc-msa/
"Specialist în analiza cauzei rădăcină"@"2 zile"@"300 euro"@https://tuvkarpat.ro/cursuri/specialist-in-analiza-cauzei-radacina/
"Audit de proces conform VDA 6.3:2016"@"2 zile"@"300 euro"@https://tuvkarpat.ro/cursuri/audit-de-proces-conform-vda-6-32016/
"Auditor Intern IATF 16949:2016"@"4 zile"@"430 euro"@https://tuvkarpat.ro/cursuri/auditor-intern-iatf-169492016/
"Cerințe IATF 16949:2016"@"2 zile"@"200 euro"@https://tuvkarpat.ro/cursuri/cerinte-iatf-169492016/
"High Voltage Nivel 2"@"2 zile"@"300 euro"@https://tuvkarpat.ro/cursuri/high-voltage-nivel-2/
"High Voltage Nivel 1"@"1 zi"@"230 euro"@https://tuvkarpat.ro/cursuri/high-voltage-nivel-1/
"8D Problem Solving"@"2 zile"@"250 euro"@https://tuvkarpat.ro/cursuri/curs-8d-problem-solving/
"5S, Eliminare pierderi - Muda și Visual Management Training &amp; Workshop"@"1 zi"@"200 euro"@https://tuvkarpat.ro/cursuri/5s-standardizare/
"Lean Six sigma Yellow Belt, miniproiecte"@"2 zile"@"300 euro"@https://tuvkarpat.ro/cursuri/lean-six-sigma-yellow-belt-miniproiecte/
"Lean Six Sigma Green Belt"@"5 zile"@"650 euro"@https://tuvkarpat.ro/cursuri/lean-six-sigma-green-belt/
"Lean Six Sigma Champion"@"1 zi"@"800 euro / companie"@https://tuvkarpat.ro/cursuri/curs-lean-six-sigma-champion/
"Value Stream Mapping"@"1 zi"@"300 euro"@https://tuvkarpat.ro/cursuri/value-stream-mapping/
"Lean Manufacturing - Eficiența echipamentelor (OEE) și metode de îmbunătățire a acesteia - QCO și TPM"@"1 zi"@"200 euro"@https://tuvkarpat.ro/cursuri/lean-manufacturing-eficienta-echipamentelor-oee-si-metode-de-imbunatatire-a-acesteia-qco-si-tpm/
"Lean Manufacturing - Introducere"@"1 zi"@"200 euro"@https://tuvkarpat.ro/cursuri/lean-manufacturing-introducere/
"Lean Manufacturing - Kanban"@"1 zi "@"200 euro"@https://tuvkarpat.ro/cursuri/lean-manufacturing-kanban/
"Auditor intern pentru sistemul de management al industriei aerospațiale AS/EN 9100"@"3 zile"@"400 euro"@https://tuvkarpat.ro/cursuri/auditor-intern-pentru-sistemul-de-management-al-industriei-aerospatiale-as-en-9100/
"Specialist pentru sistemul de management al industriei aerospațiale  AS/EN 9100"@"2 zile"@"300 euro"@https://tuvkarpat.ro/cursuri/specialist-pentru-sistemul-de-management-al-industriei-aerospatiale-as-en-9100/
"Auditor pentru sistemul de management al energiei SR EN ISO 50001:2019"@"3 zile"@"300 euro"@https://tuvkarpat.ro/cursuri/auditor-pentru-sistemul-de-management-al-energiei-iso-50001/
"Manager pentru sistemul de management al energiei SR EN ISO 50001:2019"@"3 zile"@"350 euro"@https://tuvkarpat.ro/cursuri/manager-pentru-sistemul-de-management-al-energiei-iso-500012018/
"Auditor Intern în domeniul dispozitivelor medicale ISO 13485:2016"@"3 zile"@"270 euro"@https://tuvkarpat.ro/cursuri/auditor-intern-in-domeniul-dispozitivelor-medicale-iso-134852016/
"Manager în domeniul dispozitivelor medicale ISO 13485:2016"@"3 zile"@"300 euro"@https://tuvkarpat.ro/cursuri/manager-in-domeniul-dispozitivelor-medicale-iso-134852016/
"Cerințe în domeniul dispozitivelor medicale ISO 13485:2016"@"2 zile"@"200 euro"@https://tuvkarpat.ro/cursuri/cerinte-in-domeniul-dispozitivelor-medicale-iso-134852016/
"Manager pentru sistemul de management al calității pentru servicii de îngrijirea sanătății ISO 15224"@"3 zile"@"250 euro"@https://tuvkarpat.ro/cursuri/manager-pentru-sistemul-de-management-al-calitatii-pentru-servicii-de-ingrijirea-sanatatii-iso-15224/
"Incertitudinea de măsurare. Validarea / verificarea metodelor"@"2 zile "@"270 euro"@https://tuvkarpat.ro/cursuri/incertitudinea-de-masurare-validarea-verificarea-metodelor/
"Auditor pentru laboratoare de analize medicale ISO 15189:2022"@"3 zile"@"270 euro"@https://tuvkarpat.ro/cursuri/auditor-pentru-laboratoare-de-analize-medicale-iso-151892013/
"Manager pentru laboratoare de analize medicale ISO 15189:2022"@"3 zile"@"270 euro"@https://tuvkarpat.ro/cursuri/manager-pentru-laboratoare-de-analize-medicale-iso-151892013/
"Auditor Intern al sistemului de management al calității pentru laboratoare de încercări și/ sau etalonări ISO 17025:2017"@"3 zile"@"270 euro"@https://tuvkarpat.ro/cursuri/auditor-intern-al-sistemului-de-management-al-calitatii-pentru-laboratoare-de-incercari-si-sau-etalonari-iso-170252018/
"Manager al sistemului de management al calității pentru laboratoare de încercări și/ sau etalonări  ISO 17025:2017"@"3 zile "@"270 euro"@https://tuvkarpat.ro/cursuri/manager-al-sistemului-de-management-al-calitatii-pentru-laboratoare-de-incercari-si-sau-etalonari-iso-170252017/
"Prezentare cerințe în domeniul laboratoarelor ISO 17025:2017"@"2 zile"@"220 euro"@https://tuvkarpat.ro/cursuri/prezentare-cerinte-in-domeniul-laboratoarelor-iso-170252018/
"Specialist privind buna practică de distribuție (GDP) în Industria Farmaceutică, creditat de Colegiul Farmaciștilor (16 puncte)"@"2 zile"@"350 euro"@https://tuvkarpat.ro/cursuri/specialist-privind-buna-practica-de-distributie-gdp-in-industria-farmaceutica/
"Auditor privind buna practică de distribuție (GDP) în Industria Farmaceutică, creditat de Colegiul Farmaciștilor (16 puncte)"@"2 zile"@"350 euro"@https://tuvkarpat.ro/cursuri/auditor-privind-buna-practica-de-distributie-gdp-in-industria-farmaceutica/
"Specialist privind buna practică de fabricație (GMP) în Industria Farmaceutică, creditat de Colegiul Farmaciștilor (16 puncte)"@"2 zile"@"350 euro"@https://tuvkarpat.ro/cursuri/specialist-privind-buna-practica-de-fabricatie-gmp-in-industria-farmaceutica/
"Auditor privind buna practică de fabricație (GMP) în Industria Farmaceutică, creditat de Colegiul Farmaciștilor (16 puncte)"@"2 zile"@"350 euro"@https://tuvkarpat.ro/cursuri/auditor-privind-buna-practica-de-fabricatie-gmp-in-industria-farmaceutica/
"Comunicare în Organizație"@"3 zile"@"400 euro"@https://tuvkarpat.ro/cursuri/comunicare-in-organizatie/
"Managementul Conflictelor"@"3 zile"@"400 euro"@https://tuvkarpat.ro/cursuri/managementul-conflictelor/
"Managementul Situațiilor de Criză"@"2 zile"@"350 euro"@https://tuvkarpat.ro/cursuri/managementul-situatiilor-de-criza/
"Managementul Schimbării"@"1 zi"@"300 euro"@https://tuvkarpat.ro/cursuri/managementul-schimarii/
"Responsabilitate Socială SA 8000"@"2 zile"@"350 euro"@https://tuvkarpat.ro/cursuri/responsabilitate-sociala-sa-8000/
"Business Process Management"@"2 zile"@"400 euro"@https://tuvkarpat.ro/cursuri/business-process-management/
"Managementul Inovării"@"3 zile"@"400 euro"@https://tuvkarpat.ro/cursuri/managementul-inovarii/
"Leadership &amp; Management strategic"@"3 zile"@"400 euro"@https://tuvkarpat.ro/cursuri/leadership-management-strategic/
"Manager de proiect. De la teorie la practică"@"3 zile"@"400 euro"@https://tuvkarpat.ro/cursuri/manager-de-proiect-de-la-teorie-la-practica/
"Managementul Riscului (ISO 31000:2018)"@"3 zile"@"380 euro"@https://tuvkarpat.ro/cursuri/managementul-riscului-iso-310002018/
"Sistemul de management al calității lanțului de furnizori ISO 28000:2022"@"2 zile"@"350 euro"@https://tuvkarpat.ro/cursuri/sistemul-de-management-al-calitatii-lantului-de-furnizori-iso-280002022/
"Auditor intern ISO 3834-2:2021 și modificări aduse în 2021 standardului"@"2 zile"@"350 euro"@https://tuvkarpat.ro/cursuri/auditor-intern-iso-3834-22021-si-modificari-aduse-in-2021-standardului/
"Cerințele standardului SR EN 1090-1:2012 și SR EN 1090-2:2018 - A1:2024"@"2 zile"@"350 euro"@https://tuvkarpat.ro/cursuri/cerintele-standardului-sr-en-1090-12012-si-sr-en-1090-22018/
"Curs de instruire pentru autorizarea operatorilor RSVTI - modul A"@"2 zile"@"1500 lei"@https://tuvkarpat.ro/cursuri/curs-de-instruire-pentru-autorizarea-operatorilor-rsvti-modul-a/
"Curs de reautorizare/prelungire a valabilității autorizației ca operator RSVTI - modul B"@"1 zi"@"750,01 lei"@https://tuvkarpat.ro/cursuri/curs-de-reautorizare-prelungire-a-valabilitatii-autorizatiei-ca-operator-rsvti-modul-b/
"Tratarea reclamațiilor clienților: 8D, A3 sau PDCA"@"2 zile"@"200 euro"@https://tuvkarpat.ro/cursuri/tratarea-reclamatiilor-clientilor-8d-a3-sau-pdca/
"Auditor Intern BRCGS Packaging Materials, versiunea 7"@"3 zile"@"280 euro"@https://tuvkarpat.ro/cursuri/auditor-intern-brcgs-food-packaging-materials-versiunea-7/
"KPI (Key Process Indicators) și PM (Performance Management) Managementul performanței și indicatori cheie de proces"@"1 zi"@"250 euro"@https://tuvkarpat.ro/cursuri/kpi-key-process-indicators-si-pm-performance-managementmanagementul-performantei-si-indicatori-cheie-de-proces/
"VSM - Value Stream Mapping/ Trasarea fluxului valoric"@"1 zi"@"250 euro"@https://tuvkarpat.ro/cursuri/vsm-value-stream-mapping-trasarea-fluxului-valoric/
"Concepte de mentenanță"@"3 zile"@"350 Euro"@https://tuvkarpat.ro/cursuri/concepte-de-mentenanta/
"Tranziția la SR EN ISO/IEC 27001:2023"@"1 zi"@"200 euro"@https://tuvkarpat.ro/cursuri/tranzitia-la-sr-en-iso-iec-270012023/
"Cerințe și Audit conform SA 8000:2014 și SR EN ISO 19011:2026"@"3 zile"@"300 euro"@https://tuvkarpat.ro/cursuri/cerinte-si-audit-conform-sa-80002014-si-iso-190112018/
"Supply Chain - Modul Depozitare"@"2 zile"@"300 euro"@https://tuvkarpat.ro/cursuri/supply-chain-modul-depozitare/
"Supply Chain - Modul Planficare Materiale"@"2 zile"@"300 euro"@https://tuvkarpat.ro/cursuri/supply-chain-modul-planficare-materiale/
"Supply Chain - Modul Transport"@"2 zile"@"300 euro"@https://tuvkarpat.ro/cursuri/supply-chain-modul-transport/
"Supply Chain - Modul Planficare Producție"@"2 zile"@"300 euro"@https://tuvkarpat.ro/cursuri/supply-chain-modul-planficare-productie/
"LEADERSHIP Sustenabil"@"2 zile"@"300 euro"@https://tuvkarpat.ro/cursuri/leadership-sustenabil/
"Securitate Cibernetică pentru IoT"@"1 zi"@"200 euro"@https://tuvkarpat.ro/cursuri/securitate-cibernetica-pentru-iot/
"Securitate Cibernetică și pre-certificare ISO 27000"@"1 zi"@"200 euro"@https://tuvkarpat.ro/cursuri/securitate-cibernetica-si-pre-certificare-iso-27000/
"Securitate Cibernetică folosind tehnologiile Microsoft"@"2 zile"@"300 euro"@https://tuvkarpat.ro/cursuri/securitate-cibernetica-folosind-tehnologiile-microsoft/
"Amprenta de Carbon conform ISO 14067. Aplicații practice"@"2 zile"@"380 euro"@https://tuvkarpat.ro/cursuri/calculul-amprentei-de-carbon-conform-iso-14067/
"Cerințe ISO 14064-1:2018"@"2 zile"@"280 euro"@https://tuvkarpat.ro/cursuri/cerinte-iso-14064-12018/
"Managementul Responsabilității Sociale Corporative SA 8000 și ISO 26000"@"2 zile"@"300 euro"@https://tuvkarpat.ro/cursuri/managementul-responsabilitatii-sociale-corporatiste-sa80002014-si-iso-260002021/
"Specialist privind buna practică de fabricație (GMP) pentru Ingrediente Farmaceutice Active ( APIs), creditat de Colegiul Farmaciștilor (16 puncte)"@"2 zile"@"350 euro"@https://tuvkarpat.ro/cursuri/specialist-privind-buna-practica-de-fabricatie-gmp-pentru-ingrediente-farmaceutice-active-apis/
"Gestionarea reclamațiilor de client"@"2 zile"@"250 euro"@https://tuvkarpat.ro/cursuri/gestionarea-reclamatiilor-de-client/
"Indicatori cheie de performanță (KPI)"@"2 zile"@"300 euro"@https://tuvkarpat.ro/cursuri/indicatori-cheie-de-performanta-kpi/
"HACCP din perspectiva IFS"@"2 zile"@"300 euro"@https://tuvkarpat.ro/cursuri/haccp-din-perspectiva-ifs/
"Sustenabilitate. Strategii, Implementare și Audit"@"4 zile"@"400 euro"@https://tuvkarpat.ro/cursuri/sustenabilitate-strategii-implementare-si-audit/
"Auditor ISO 26000"@"2 zile"@"280 euro"@https://tuvkarpat.ro/cursuri/auditor-iso-26000/
"Specialist sistem de management transport logistic și servicii - EN ISO 13816:2003 - Transport public de călători."@"2 zile"@"350 euro"@https://tuvkarpat.ro/cursuri/specialist-sistem-de-management-transport-logistic-si-servicii-en-iso-138162003-transport-public-de-calatori/
"Specialist privind managementul riscului calității (QRM) în Industria Farmaceutică, creditat de Colegiul Farmaciștilor (16 puncte)"@"2 zile"@"350 euro"@https://tuvkarpat.ro/cursuri/specialist-privind-managementul-riscului-calitatii-qrm-in-industria-farmaceutica/
"Achiziții sustenabile, conform ISO 20400:2021"@"2 zile"@"350 euro"@https://tuvkarpat.ro/cursuri/achizitii-sustenabile-conform-iso-204002021/
"Auditor ISO 14067:2018"@"3 zile"@"380 euro"@https://tuvkarpat.ro/cursuri/auditor-iso-140672018/
"Hărțuirea în context organizațional"@"2 zile"@"350 euro"@https://tuvkarpat.ro/cursuri/hartuirea-in-context-organizational/
"Managementul Riscului în lanțul furnizorilor"@"2 zile"@"350 euro"@https://tuvkarpat.ro/cursuri/managementul-riscului-in-lantul-furnizorilor/
"Sustenabilitatea lanțului de aprovizionare (SC)"@"2 zile"@"370 euro"@https://tuvkarpat.ro/cursuri/sustenabilitatea-lantului-de-aprovizionare-sc/
"Auditor privind buna practică de fabricație (GMP) în Industria Cosmeticelor, creditat de Colegiul Farmaciștilor (16 puncte)"@"2 zile"@"350 euro"@https://tuvkarpat.ro/cursuri/auditor-privind-buna-practica-de-fabricatie-gmp-in-industria-cosmeticelor/
"Auditor privind buna practică de fabricație (GMP) în Industria Suplimentelor alimentare, creditat de Colegiul Farmaciștilor (16 puncte)"@"2 zile"@"350 euro"@https://tuvkarpat.ro/cursuri/auditor-privind-buna-practica-de-fabricatie-gmp-in-industria-suplimentelor-alimentare/
"Specialist privind buna practică de fabricație (GMP) în Industria Cosmeticelor, creditat de Colegiul Farmaciștilor (16 puncte)"@"2 zile"@"350 euro"@https://tuvkarpat.ro/cursuri/specialist-privind-buna-practica-de-fabricatie-gmp-industria-cosmeticelor/
"Specialist privind buna practică de fabricație (GMP) în Industria Suplimentelor Alimentare, creditat de Colegiul Farmaciștilor (16 puncte)"@"2 zile"@"350 euro"@https://tuvkarpat.ro/cursuri/specialist-privind-buna-practica-de-fabricatie-gmp-in-industria-suplimentelor-alimentare/
"Specialist privind buna practică de laborator microbiologic în Industria Suplimentelor Alimentare, creditat de Colegiul Farmaciștilor (16 puncte)"@"2 zile"@"350 euro"@https://tuvkarpat.ro/cursuri/specialist-privind-buna-practica-de-laborator-microbiologic-in-industria-suplimentelor-alimentare/
"Specialist privind buna practică de laborator microbiologic în Industria Cosmeticelor, creditat de Colegiul Farmaciștilor (16 puncte)"@"2 zile"@"350 euro"@https://tuvkarpat.ro/cursuri/specialist-privind-buna-practica-de-laborator-microbiologic-in-industria-cosmeticelor/
"Auditor privind buna practică de laborator microbiologic în Industria Cosmeticelor, creditat de Colegiul Farmaciștilor (16 puncte)"@"2 zile"@"350 euro"@https://tuvkarpat.ro/cursuri/auditor-privind-buna-practica-de-laborator-microbiologic-in-industria-cosmeticelor/
"Specialist privind buna practică de laborator microbiologic în Industria Farmaceutică, creditat de Colegiul Farmaciștilor (16 puncte)"@"2 zile"@"350 euro"@https://tuvkarpat.ro/cursuri/specialist-privind-buna-practica-de-laborator-microbiologic-in-industria-farmaceutica/
"Auditor privind buna practică de laborator microbiologic în Industria Farmaceutică, creditat de Colegiul Farmaciștilor (16 puncte)"@"2 zile"@"350 euro"@https://tuvkarpat.ro/cursuri/auditor-privind-buna-practica-de-laborator-microbiologic-in-industria-farmaceutica/
"Introducere în Ergonomie"@"2 zile"@"250 euro"@https://tuvkarpat.ro/cursuri/introducere-in-ergonomie/
"Ergonomia locului de muncă pentru liniile de producție"@"3 zile"@"350 euro"@https://tuvkarpat.ro/cursuri/ergonomia-locului-de-munca-pentru-fabrici-de-productie/
"Schimbările Climatice în Raportarea CSRD ESRS"@"2 zile"@"380 euro"@https://tuvkarpat.ro/cursuri/raportare-de-sustenabilitate-conform-csrd-si-esrs/
"Responsabil CBAM - Legislație și aplicații practice"@"3 zile"@"400 euro"@https://tuvkarpat.ro/cursuri/cbam-cerinte-legale-aplicatii-practice/
"Auditor Responsabilitate Socială Corporativă SA 8000 și ISO 26000"@"3 zile"@"380 euro"@https://tuvkarpat.ro/cursuri/auditor-responsabilitate-sociala-corporativa-sa-8000-si-iso-26000/
"Regulamentul REACH – Anexa XVII, intrarea 74-Diizocianați Nivel Inițiere"@"2 zile"@"280 euro"@https://tuvkarpat.ro/cursuri/regulamentul-reach-anexa-xvii-intrarea-74-diizocianati-nivel-initiere/
"Regulamentul REACH – Anexa XVII, intrarea 74-Diizocianați Nivel Intermediar"@"1 zi"@"250 euro"@https://tuvkarpat.ro/cursuri/regulamentul-reach-anexa-xvii-intrarea-74-diizocianati-nivel-intermediar/
"Regulamentul REACH – Anexa XVII, intrarea 74-Diizocianați Nivel Avansat"@"1 zi"@"250 euro"@https://tuvkarpat.ro/cursuri/regulamentul-reach-anexa-xvii-intrarea-74-diizocianati-nivel-avansat/
"Regulamente REACH - CLP - pentru utilizatorii din aval"@"2 zile"@"280 euro"@https://tuvkarpat.ro/cursuri/regulamente-reach-clp-pentru-utilizatorii-din-aval/
